# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
ABR	chr17|5 (-41833)
ACTRT2	chr1|11 (-313045), chr1|12 (-63045)
ADAMTS16	chr5|18 (-765442), chr5|19 (-515442), chr5|20 (-265442), chr5|21 (-15442), chr5|23 (+484558), chr5|24 (+734558), chr5|25 (+984558)
ADARB2	chr10|11 (-845331), chr10|10 (-595331), chr10|9 (-345331), chr10|8 (-95331), chr10|7 (+154669), chr10|6 (+404669), chr10|5 (+654669)
ADCY2	chr5|28 (-521320), chr5|29 (-271320), chr5|30 (-21320), chr5|31 (+228680)
ADCYAP1	chr18|4 (-30109), chr18|5 (+219891), chr18|6 (+469891), chr18|7 (+719891), chr18|8 (+969891)
ADIPOR2	chr12|8 (+74808)
ADRA2C	chr4|15 (-143124)
AGAP9	chr10|193 (-90835)
AGMO	chr7|62 (+226639)
AHRR	chr5|2 (+70710)
AIPL1	chr17|25 (+213504)
AJAP1	chr1|18 (-340104), chr1|19 (-90104), chr1|20 (+159896), chr1|21 (+409896), chr1|22 (+659896), chr1|23 (+909896)
ALCAM	chr3|418 (-710752), chr3|420 (-210752)
ALG10	chr12|141 (+949785)
AMTN	chr4|286 (-9256)
AMZ1	chr7|12 (+155845)
ANGPT4	chr20|4 (+21959)
ANKH	chr5|62 (-503114)
ANKRD20A1	chr9|269 (-801760), chr9|271 (-301760), chr9|272 (-51760)
ANKRD30B	chr18|63 (+876762)
ANO2	chr12|25 (-69603), chr12|24 (+180397), chr12|23 (+430397)
APBA2	chr15|118 (+243881)
ARHGEF10	chr8|8 (+102859)
ARHGEF16	chr1|13 (-245989), chr1|14 (+4011)
ARL4A	chr7|54 (+648040), chr7|55 (+898040)
ARL6	chr3|388 (-608371)
ARSD	chrX|12 (-27609)
ARSE	chrX|12 (+7310)
ARSF	chrX|13 (+165489)
ASAH2C	chr10|193 (-69983)
ASMT	chrX|8 (+141107), chrX|9 (+391107), chrX|10 (+641107)
ASMTL	chrX|7 (-53235)
ASPA	chr17|14 (-4295)
ATAD3C	chr1|6 (-10068)
ATP10A	chr15|108 (-766646), chr15|107 (-516646), chr15|106 (-266646), chr15|105 (-16646), chr15|104 (+233354)
AXIN1	chr16|2 (+27658)
B3GAT1	chr11|541 (-741012)
B4GALNT3	chr12|3 (+55471)
B4GALNT4	chr11|2 (+5197)
BAI3	chr6|277 (-220258)
BASP1	chr5|73 (+907332)
BHLHA9	chr17|5 (-48852)
BHLHE40	chr3|20 (-145800)
BOD1L1	chr4|59 (-995654), chr4|58 (-745654), chr4|56 (-245654)
BRSK2	chr11|6 (-57381)
C1orf174	chr1|19 (-808152), chr1|18 (-558152)
C1orf86	chr1|9 (+1212)
C4orf6	chr4|22 (-151882)
C5orf38	chr5|12 (+122739), chr5|13 (+372739), chr5|14 (+622739)
C5orf55	chr5|2 (+68257)
CACNA1C	chr12|9 (-37728), chr12|10 (+212272), chr12|12 (+712272)
CARD11	chr7|13 (-41422)
CBWD1	chr9|1 (+54057)
CBWD3	chr9|283 (-231396)
CBWD5	chr9|283 (-134894)
CBWD6	chr9|279 (-362408)
CBWD7	chr9|169 (-562352), chr9|170 (-312352), chr9|171 (-62352)
