# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
A4GNT	chr3|552 (-23772)
AACS	chr12|503 (+75076)
AAK1	chr2|280 (-4152)
AAMDC	chr11|311 (+92826)
AARSD1	chr17|165 (-8508)
AASDH	chr4|228 (+378665)
ABCA1	chr9|432 (-184483), chr9|431 (+65517)
ABCA12	chr2|865 (-121850)
ABCB7	chrX|298 (+1131)
ABCC4	chr13|385 (-171318), chr13|384 (+78682), chr13|383 (+328682), chr13|382 (+578682)
ABCD2	chr12|160 (+138552)
ABCG1	chr21|175 (-14227)
ABCG2	chr4|357 (-44937)
ABHD12	chr20|102 (-3382)
ABHD13	chr13|436 (+4274)
ABHD15	chr17|112 (+19154)
ABHD17C	chr15|324 (-112643)
ABHD2	chr15|359 (-6380)
ABI2	chr2|817 (-68002), chr2|818 (+181998)
ABL1	chr9|535 (+35668)
ABL2	chr1|717 (+73735)
ABLIM3	chr5|595 (+103824)
ABRA	chr8|431 (+157472)
ABTB2	chr11|138 (+4554)
ACAA1	chr3|153 (+53698)
ACAA2	chr18|191 (-284671), chr18|190 (-34671), chr18|189 (+215329)
ACACB	chr12|439 (+70601)
ACAD10	chr12|449 (+1121)
ACAD8	chr11|537 (+1612)
ACAN	chr15|358 (+28327)
ACBD3	chr1|906 (-570)
ACBD6	chr1|722 (+97088)
ACER3	chr11|307 (+53084)
ACKR2	chr3|172 (+24033)
ACMSD	chr2|543 (+28884)
ACOT12	chr5|323 (+64961)
ACPL2	chr3|564 (-75669)
ACPP	chr3|528 (-161250), chr3|529 (+88750)
ACR	chr22|205 (-51623)
ACSF3	chr16|357 (-35216)
ACSL3	chr2|895 (-100651)
ACSL4	chrX|436 (+101620)
ACSL6	chr5|526 (-27646)
ACTA1	chr1|919 (-55160)
ACTG1	chr17|318 (+104806)
ACTG2	chr2|297 (+4866)
ACTL7A	chr9|447 (+398)
ACTL7B	chr9|446 (+244238), chr9|445 (+494238), chr9|444 (+744238), chr9|443 (+994238)
ACTN1	chr14|278 (+70955)
ACTN2	chr1|948 (+25193)
ACTN4	chr19|157 (-13309)
ACTR10	chr14|235 (-41855)
ACTR2	chr2|262 (-79970), chr2|263 (+170030)
ACTR3	chr2|459 (-22536)
ACTR3C	chr7|599 (+395757)
ACTR5	chr20|150 (-2084)
ACTR6	chr12|403 (+31136)
ACTRT3	chr3|678 (+112682)
ACVR1	chr2|635 (+106622)
ACVR1B	chr12|210 (+29516)
ACVR1C	chr2|635 (-139484)
ACYP2	chr2|218 (+32360)
ADAD1	chr4|493 (-175167)
ADAM22	chr7|351 (+61299)
ADAM32	chr8|156 (-90167)
ADAM9	chr8|156 (+20496)
ADAMTS17	chr15|404 (+7209), chr15|403 (+257209), chr15|402 (+507209)
ADAMTS20	chr12|177 (-179277)
ADAMTS3	chr4|296 (-440485)
ADAMTS6	chr5|257 (+652746)
ADAMTS7	chr15|317 (-21228)
ADAMTSL3	chr15|337 (-197837), chr15|338 (+52163), chr15|339 (+302163), chr15|340 (+552163), chr15|341 (+802163)
ADARB1	chr21|186 (-119492), chr21|187 (+130508)
ADC	chr1|135 (+78287)
ADCK1	chr14|314 (+108575), chr14|315 (+358575)
ADCK2	chr7|562 (+2048)
ADCK3	chr1|909 (+39764)
ADCY10	chr1|672 (+8339)
ADCY5	chr3|493 (+43604)
ADCY6	chr12|197 (+52911)
ADCY7	chr16|202 (+74574)
ADD2	chr2|284 (+120308)
ADD3	chr10|448 (+107281)
ADH4	chr4|401 (-59553)
ADH6	chr4|401 (+15402)
ADH7	chr4|402 (-18710)
ADHFE1	chr8|270 (+30280)
ADIG	chr20|149 (-84837)
ADIPOQ	chr3|747 (+64538)
ADNP2	chr18|312 (+8086)
ADORA1	chr1|813 (+28808)
ADORA2A	chr22|100 (+51471)
ADORA3	chr1|449 (-78891)
ADPGK	chr15|293 (-48875)
ADRA1B	chr5|636 (-468789), chr5|638 (+31211)
ADRB1	chr10|463 (-178805)
ADRB2	chr5|593 (-81155), chr5|594 (+168845)
ADRM1	chr20|244 (-3060)
ADSL	chr22|163 (-117506)
ADSS	chr1|978 (+240435)
AEN	chr15|357 (-39526)
AFAP1L1	chr5|595 (-26433)
AFF1	chr4|352 (+18847), chr4|353 (+268847)
AFF3	chr2|401 (+597044)
AFTPH	chr2|260 (+123536)
AGA	chr4|714 (-11344)
AGAP2	chr12|233 (+7028)
AGBL1	chr15|346 (-310226)
AGBL3	chr7|539 (-46258)
AGFG1	chr2|914 (+38133)
AGGF1	chr5|306 (+48791)
AGK	chr7|564 (-375988), chr7|566 (+124012)
AGL	chr1|402 (+58956)
AGO1	chr1|146 (+26191)
AGO2	chr8|567 (+20717)
AGO3	chr1|146 (-21678)
AGT	chr1|924 (-24958)
AGTPBP1	chr9|354 (-18268)
AGTR2	chrX|461 (-176974)
AHCTF1	chr1|989 (-30275)
AHCYL2	chr7|516 (+10137)
AHI1	chr6|544 (-56118), chr6|543 (+193882)
AHSP	chr16|127 (+85816)
AIDA	chr1|892 (+10865)
AIFM2	chr10|288 (+17689)
AIG1	chr6|574 (-7012)
AIM1	chr6|428 (-84729)
AIMP1	chr4|428 (-362663), chr4|429 (-112663)
AK4	chr1|263 (+11488)
AK5	chr1|313 (+377265)
AK7	chr14|388 (+16553)
AK8	chr9|543 (+129163)
AK9	chr6|440 (+137414)
AKAP1	chr17|221 (-37550)
AKAP12	chr6|607 (+63867)
AKAP13	chr15|343 (-298959), chr15|344 (-48959), chr15|345 (+201041)
AKAP2	chr9|451 (+82232), chr9|452 (+332232)
AKAP5	chr14|260 (-58824)
AKAP7	chr6|527 (+168195), chr6|528 (+418195)
AKAP9	chr7|367 (+54820)
AKIRIN2	chr6|354 (+36926)
AKNA	chr9|469 (+31684)
AKR1B1	chr7|537 (+18893)
AKR1D1	chr7|553 (+363778)
AKTIP	chr16|215 (-87838)
ALAS2	chrX|221 (-67504)
ALDH18A1	chr10|390 (+41462)
ALDH1A3	chr15|406 (-44580)
ALDH1B1	chr9|153 (-267660)
ALDH1L2	chr12|422 (+103354)
ALDH5A1	chr6|99 (+129804)
ALDH7A1	chr5|504 (+56109)
ALDH8A1	chr6|540 (+396259)
ALDH9A1	chr1|663 (+43099)
ALG13	chrX|444 (-49434)
ALG1L	chr3|503 (+30881), chr3|502 (+280881)
ALG2	chr9|408 (+109237)
ALG6	chr1|256 (+41740)
ALG8	chr11|312 (-24295)
ALK	chr2|122 (-230569)
ALKBH1	chr14|313 (+49362)
ALKBH3	chr11|176 (-27388)
ALMS1	chr2|295 (+12115)
ALPK1	chr4|454 (+156502)
ALPK2	chr18|225 (+171188), chr18|224 (+421188)
ALPK3	chr15|342 (+15090)
ALPP	chr2|932 (-368243)
ALS2	chr2|811 (+20911)
ALS2CR12	chr2|809 (+97100)
ALX3	chr1|443 (-11679)
ALX4	chr11|178 (-43285), chr11|177 (+206715)
AMBRA1	chr11|187 (-12087)
AMDHD1	chr12|386 (+37930)
AMER1	chrX|254 (+50623)
AMER3	chr2|527 (+111137)
AMFR	chr16|226 (+84449)
AMIGO2	chr12|191 (-151353)
AMMECR1	chrX|439 (-63534)
AMN	chr14|414 (-13992)
AMOTL1	chr11|378 (-126536), chr11|379 (+123464)
AMOTL2	chr3|537 (-31565)
AMZ2	chr17|265 (-118714)
ANAPC1	chr2|451 (+17266)
ANAPC13	chr3|537 (+79864)
ANAPC4	chr4|102 (-3834)
ANAPC7	chr12|444 (-33466)
ANGPTL1	chr1|716 (-34814)
ANGPTL2	chr9|520 (+10161)
ANGPTL3	chr1|253 (+61843)
ANHX	chr12|536 (+11733)
ANK1	chr8|168 (-120721)
ANK2	chr4|455 (-345831), chr4|459 (+654169)
ANK3	chr10|248 (+274487)
ANKAR	chr2|763 (+84290)
ANKHD1	chr5|560 (+93572)
ANKIB1	chr7|368 (-547)
ANKLE2	chr12|534 (-36527)
ANKRD1	chr10|372 (-193968)
ANKRD11	chr16|358 (+181968)
ANKRD17	chr4|297 (-499)
ANKRD32	chr5|376 (-79051)
ANKRD34B	chr5|320 (-8694)
ANKRD42	chr11|332 (-30550)
ANKRD44	chr2|793 (+50510), chr2|792 (+300510)
ANKRD45	chr1|695 (+14000)
ANKRD7	chr7|472 (+10271)
ANKS1A	chr6|140 (+17959)
ANLN	chr7|146 (-54414)
ANO6	chr12|183 (+15133)
ANP32A	chr15|277 (-11767), chr15|276 (+238233)
ANP32E	chr1|601 (+83503)
ANPEP	chr15|362 (-16907)
ANXA10	chr4|677 (+111335)
ANXA2	chr15|243 (+65183)
ANXA3	chr4|319 (+152328)
ANXA5	chr4|491 (-6733)
ANXA6	chr5|603 (-87558)
AOX1	chr2|807 (+174410)
AP1AR	chr4|453 (-27892)
AP2M1	chr3|736 (-17642)
AP2S1	chr19|190 (-20752)
AP3B2	chr15|334 (+3665)
AP3S2	chr15|362 (+62573)
APAF1	chr12|397 (+86082)
APBB2	chr4|165 (+91548)
APC	chr5|448 (-168217), chr5|449 (+81783)
APCDD1L	chr20|229 (-35007)
API5	chr11|174 (+41462)
APLP1	chr19|146 (+15654)
APOA1	chr11|468 (-166335)
APOB	chr2|85 (+141944), chr2|84 (+391944)
APOBEC3B	chr22|158 (-3413)
APOBEC4	chr1|736 (-252553), chr1|735 (-2553)
APOD	chr3|782 (-63925)
APOL2	chr22|147 (+10999)
