# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|1	OR4F29 (-242639), OR4F5 (+55910)
chr1|2	OR4F29 (+7361), OR4F16 (+247052)
chr1|3	OR4F16 (-2948)
chr1|4	SAMD11 (+13883), NOC2L (+19669)
chr1|5	TTLL10 (+15718), TNFRSF18 (+16950)
chr1|6	ATAD3C (-10068), VWA1 (+3950)
chr1|7	SLC35E2B (-918)
chr1|8	GABRD (-75779), TMEM52 (-24289)
chr1|9	C1orf86 (+1212), PRKCZ (+143092)
chr1|10	PEX10 (-31032), PLCH2 (-23897)
chr1|11	ACTRT2 (-313045), MMEL1 (-60572)
chr1|12	MMEL1 (-310572), ACTRT2 (-63045)
chr1|13	ARHGEF16 (-245989), PRDM16 (+139226)
chr1|14	ARHGEF16 (+4011), MEGF6 (+153058)
chr1|18	C1orf174 (-558152), AJAP1 (-340104)
chr1|19	C1orf174 (-808152), AJAP1 (-90104)
chr1|20	AJAP1 (+159896)
chr1|21	AJAP1 (+409896), NPHP4 (+927530)
chr1|22	AJAP1 (+659896), NPHP4 (+677530)
chr1|23	NPHP4 (+427530), AJAP1 (+909896)
chr1|54	PRAMEF5 (+15182), PRAMEF8 (+15764)
chr1|55	PRAMEF15 (-16972), PRAMEF21 (+108935)
chr1|487	FCGR1B (-689064)
chr1|488	FCGR1B (-939064)
chr1|489	NONE
chr1|490	NONE
chr1|491	NONE
chr1|492	NONE
chr1|493	NONE
chr1|494	NONE
chr1|495	NONE
chr1|496	NONE
chr1|497	NONE
chr1|498	NONE
chr1|499	NONE
chr1|500	NONE
chr1|501	NONE
chr1|502	NONE
chr1|503	NONE
chr1|504	NONE
chr1|505	NONE
chr1|506	NONE
chr1|507	NONE
chr1|508	NONE
chr1|509	NONE
chr1|510	NONE
chr1|511	NONE
chr1|512	NONE
chr1|513	NONE
chr1|514	NONE
chr1|515	NONE
chr1|516	NONE
chr1|517	NONE
chr1|518	NONE
chr1|519	NONE
chr1|520	NONE
chr1|521	NONE
chr1|522	NONE
chr1|523	NONE
chr1|524	NONE
chr1|525	NONE
chr1|526	NONE
chr1|527	NONE
chr1|528	NONE
chr1|530	NONE
chr1|531	NONE
chr1|532	NONE
chr1|533	NONE
chr1|534	NONE
chr1|535	NONE
chr1|536	NONE
chr1|537	NONE
chr1|538	NONE
chr1|539	NONE
chr1|540	NONE
chr1|541	NONE
chr1|542	NONE
chr1|543	NONE
chr1|544	NONE
chr1|545	NONE
chr1|546	NONE
chr1|547	NONE
chr1|548	NONE
chr1|549	NONE
chr1|550	NONE
chr1|551	NONE
chr1|552	NONE
chr1|553	NONE
chr1|554	NONE
chr1|555	NONE
chr1|556	NONE
chr1|557	NONE
chr1|558	NONE
chr1|559	NONE
chr1|560	NONE
chr1|561	NONE
chr1|562	NONE
chr1|563	NONE
chr1|564	NONE
chr1|565	NONE
chr1|566	NONE
chr1|567	NONE
chr1|568	NONE
chr1|569	NONE
chr1|570	NONE
chr1|578	NBPF9 (-436747), PPIAL4B (-10755)
chr1|585	NBPF12 (-249055), NBPF11 (-42368)
chr1|594	NBPF15 (-185842), NBPF20 (-27950)
chr1|998	ZNF692 (-97252)
chr2|1	FAM110C (-78616), SH3YL1 (+139064)
chr2|2	FAM150B (-86705), TMEM18 (+302438)
chr2|3	FAM150B (-336705), TMEM18 (+52438)
chr2|4	TMEM18 (-197562), SNTG2 (-71553)
chr2|5	TPO (-292232), SNTG2 (+178447)
chr2|6	TPO (-42232), SNTG2 (+428447)
chr2|8	PXDN (-126723), MYT1L (+459887)
chr2|9	PXDN (-376723), MYT1L (+209887)
chr2|11	TRAPPC12 (-758456), MYT1L (-290113)
chr2|12	MYT1L (-540113), TRAPPC12 (-508456)
chr2|13	MYT1L (-790113), TRAPPC12 (-258456)
chr2|16	DCDC2C (+123548)
chr2|17	DCDC2C (+373548)
chr2|18	DCDC2C (+623548)
chr2|19	DCDC2C (+873548)
chr2|20	SOX11 (-957798)
chr2|21	SOX11 (-707798)
chr2|22	SOX11 (-457798)
chr2|23	SOX11 (-207798)
chr2|24	SOX11 (+42202)
chr2|25	SOX11 (+292202), CMPK2 (+880826)
chr2|26	SOX11 (+542202), CMPK2 (+630826)
chr2|27	CMPK2 (+380826), SOX11 (+792202)
chr2|30	RNF144A (+317478)
chr2|31	RNF144A (+567478)
chr2|32	ID2 (-943974), RNF144A (+817478)
chr2|363	NONE
chr2|364	NONE
chr2|365	NONE
chr2|366	NONE
chr2|371	NONE
chr2|372	NONE
chr2|373	NONE
chr2|374	NONE
chr2|375	NONE
chr2|376	NONE
chr2|377	NONE
chr2|378	NONE
chr2|379	TEKT4 (-912187)
chr2|380	TEKT4 (-662187)
chr2|381	TEKT4 (-412187)
chr2|443	LIMS3 (-31004), RGPD5 (+73116)
chr2|445	NPHP1 (-162382), ENSG00000257207 (+105392)
chr3|20	BHLHE40 (-145800), ITPR1 (+339969)
chr3|23	EDEM1 (+395643)
chr3|24	EDEM1 (+645643)
chr3|25	GRM7 (-777801), EDEM1 (+895643)
chr3|26	GRM7 (-527801)
chr3|27	GRM7 (-277801)
chr3|28	GRM7 (-27801)
chr3|29	GRM7 (+222199)
chr3|30	GRM7 (+472199)
chr3|31	LMCD1 (-918392), GRM7 (+722199)
chr3|32	LMCD1 (-668392), GRM7 (+972199)
chr3|33	LMCD1 (-418392)
chr3|364	NONE
chr3|365	NONE
chr3|366	NONE
chr3|367	NONE
chr3|368	NONE
chr3|369	NONE
chr3|370	NONE
chr3|371	NONE
chr3|372	PROS1 (+817909)
chr3|373	PROS1 (+567909)
chr3|374	PROS1 (+317909)
chr3|377	DHFRL1 (-342934)
chr3|378	DHFRL1 (-592934)
chr3|380	NONE
chr3|382	NONE
chr3|383	EPHA6 (-908429)
chr3|384	EPHA6 (-658429)
chr3|385	EPHA6 (-408429)
chr3|386	EPHA6 (-158429)
chr3|388	ARL6 (-608371), EPHA6 (+341571)
chr3|396	COL8A1 (-482318), DCBLD2 (-254468)
chr3|410	ZPLD1 (+221142)
chr3|411	ZPLD1 (+471142)
chr3|413	ZPLD1 (+971142)
chr3|414	NONE
chr3|418	ALCAM (-710752)
chr3|420	ALCAM (-210752)
chr3|440	PVRL3 (-915589), DPPA4 (-818582)
chr3|793	LMLN (+324123)
chr4|4	CPLX1 (-55015), GAK (+51085)
chr4|5	RNF212 (-17687), SPON2 (+41660)
chr4|6	CRIPAK (-10339), UVSSA (+33897)
chr4|7	NKX1-1 (-224882), FAM53A (+60987)
chr4|8	WHSC1 (-19571), LETM1 (-17027)
chr4|9	NAT8L (+63762), POLN (+118847)
chr4|10	MXD4 (-110980), ZFYVE28 (+45389)
chr4|11	FAM193A (-2158)
chr4|15	ADRA2C (-143124), LRPAP1 (-90715)
chr4|22	C4orf6 (-151882), STK32B (+321832)
chr4|24	CRMP1 (+19784), EVC (+162077)
chr4|45	CLNK (-438512), HS3ST1 (+306388)
chr4|47	HS3ST1 (-193612)
chr4|49	HS3ST1 (-693612)
chr4|50	HS3ST1 (-943612)
chr4|51	RAB28 (+860988)
chr4|52	RAB28 (+610988)
chr4|53	RAB28 (+360988)
chr4|56	BOD1L1 (-245654)
chr4|58	BOD1L1 (-745654), CPEB2 (-629297)
chr4|59	BOD1L1 (-995654), CPEB2 (-379297)
chr4|74	LCORL (-351518)
chr4|76	LCORL (-851518)
chr4|77	NONE
chr4|78	SLIT2 (-880186)
chr4|79	SLIT2 (-630186)
chr4|84	SLIT2 (+619814)
chr4|85	KCNIP4 (+825421), SLIT2 (+869814)
chr4|89	KCNIP4 (-174579), GPR125 (+392676)
chr4|199	CWH43 (+636737)
chr4|200	CWH43 (+886737)
chr4|201	NONE
chr4|202	NONE
chr4|203	NONE
chr4|204	NONE
chr4|205	NONE
chr4|206	NONE
chr4|207	NONE
chr4|208	DCUN1D4 (-834228)
chr4|209	DCUN1D4 (-584228)
chr4|210	DCUN1D4 (-334228)
chr4|249	LPHN3 (+57141)
chr4|251	LPHN3 (+557141)
chr4|253	NONE
chr4|262	TECRL (-99821)
chr4|264	TECRL (-599821), EPHA5 (+661060)
chr4|268	EPHA5 (-338940)
chr4|269	EPHA5 (-588940)
chr4|281	UGT2B11 (-44552), UGT2B28 (-21216)
chr4|284	HTN3 (-19171), STATH (+13354)
chr4|286	AMTN (-9256), MUC7 (+78792)
chr4|765	DUX4L2 (+65279)
chr5|1	PLEKHG4B (-15372)
chr5|2	C5orf55 (+68257), AHRR (+70710)
chr5|3	CEP72 (+12614), TPPP (+68509)
chr5|4	ZDHHC11 (-23900), TRIP13 (-17757)
chr5|5	SLC6A19 (-76709), SLC12A7 (-12851)
chr5|6	CLPTM1L (-29787), SLC6A3 (+70544)
chr5|7	LPCAT1 (-100909), MRPL36 (+175008)
chr5|8	IRX4 (+12331), NDUFS6 (+73487)
chr5|9	IRX4 (-237669), IRX2 (+626775)
chr5|10	IRX4 (-487669), IRX2 (+376775)
chr5|11	IRX4 (-737669), IRX2 (+126775)
chr5|12	IRX1 (-721167), C5orf38 (+122739)
chr5|13	IRX1 (-471167), C5orf38 (+372739)
chr5|14	IRX1 (-221167), C5orf38 (+622739)
chr5|15	IRX1 (+28833)
chr5|16	IRX1 (+278833)
chr5|17	IRX1 (+528833)
chr5|18	ADAMTS16 (-765442), IRX1 (+778833)
chr5|19	ADAMTS16 (-515442)
chr5|20	ADAMTS16 (-265442)
chr5|21	ADAMTS16 (-15442)
chr5|23	ADAMTS16 (+484558), MED10 (+753706)
chr5|24	MED10 (+503706), ADAMTS16 (+734558)
chr5|25	MED10 (+253706), ADAMTS16 (+984558)
chr5|28	ADCY2 (-521320), PAPD7 (+160283)
chr5|29	ADCY2 (-271320), PAPD7 (+410283)
chr5|30	ADCY2 (-21320), PAPD7 (+660283)
chr5|31	ADCY2 (+228680), FASTKD3 (+244114)
chr5|35	MTRR (+755784), SEMA5A (+921186)
chr5|36	SEMA5A (+671186)
chr5|37	SEMA5A (+421186)
chr5|40	TAS2R1 (-244538), FAM173B (+374997)
chr5|45	DAP (-363617), CTNND2 (+779154)
chr5|46	DAP (-613617), CTNND2 (+529154)
chr5|49	CTNND2 (-220846)
chr5|50	CTNND2 (-470846)
chr5|52	CTNND2 (-970846)
chr5|53	DNAH5 (+819651)
chr5|55	DNAH5 (+319651)
chr5|62	ANKH (-503114), FBXL7 (-125304)
chr5|64	MARCH11 (+304883), FBXL7 (+374696)
chr5|73	BASP1 (+907332)
chr5|77	NONE
chr5|78	NONE
