# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|50	TNFRSF1B (+147941), DHRS3 (+302736)
chr1|57	KAZN (-800199), PRDM2 (+93651)
chr1|60	KAZN (-50199), PRDM2 (+843651)
chr1|63	EFHD2 (-111390), TMEM51 (+145973)
chr1|73	IGSF21 (-309239), ACTL8 (+43193)
chr1|75	KLHDC7A (-182423), IGSF21 (+190761)
chr1|86	HP1BP3 (-261820), EIF4G3 (+128342)
chr1|91	WNT4 (-155542), ZBTB40 (-153343)
chr1|94	KDM1A (+29015), LUZP1 (+129300)
chr1|120	PTPRU (+311973)
chr1|121	PTPRU (+561973)
chr1|122	PTPRU (+811973), MATN1 (+821433)
chr1|124	MATN1 (+321433)
chr1|137	HMGB4 (-201100), ZSCAN20 (+186755)
chr1|138	HMGB4 (+48900), CSMD2 (+256442)
chr1|140	GJB5 (-345647), C1orf94 (+231730)
chr1|149	CSF3R (-176122), GRIK3 (+374725)
chr1|157	POU3F1 (-612551), RRAGC (+200494)
chr1|195	TRABD2B (-162434), SLC5A9 (-63358)
chr1|197	SPATA6 (-187156), BEND5 (+117589)
chr1|198	BEND5 (-132411)
chr1|201	BEND5 (-882411), AGBL4 (+364584)
chr1|202	AGBL4 (+114584)
chr1|203	ELAVL4 (+53037), DMRTA2 (+264171)
chr1|224	USP24 (-194215)
chr1|225	USP24 (-444215), PPAP2B (+920240)
chr1|227	USP24 (-944215), PPAP2B (+420240)
chr1|230	C8A (+54522), C8B (+56687)
chr1|231	C8B (-193313), DAB1 (+264728)
chr1|232	C8B (-443313), DAB1 (+14728)
chr1|233	DAB1 (-235272), OMA1 (+887471)
chr1|236	DAB1 (-985272), OMA1 (+137471)
chr1|241	HOOK1 (-155532), FGGY (+362348)
chr1|242	CYP2J2 (+17461), HOOK1 (+94468)
chr1|243	NFIA (-922533), C1orf87 (-85559)
chr1|244	NFIA (-672533), C1orf87 (-335559)
chr1|245	C1orf87 (-585559), NFIA (-422533)
chr1|246	C1orf87 (-835559), NFIA (-172533)
chr1|248	TM2D1 (+316094), NFIA (+327467)
chr1|250	INADL (+166852), KANK4 (+410084)
chr1|251	KANK4 (+160084), INADL (+416852)
chr1|255	FOXD3 (-163729), ATG4C (+375195)
chr1|257	ROR1 (-114713), PGM1 (+36237)
chr1|258	UBE2U (-294489), ROR1 (+135287)
chr1|259	UBE2U (-44489), ROR1 (+385287)
chr1|265	PDE4B (-133196), LEPR (+238666)
chr1|266	SGIP1 (-624964), PDE4B (+116804)
chr1|267	SGIP1 (-374964), PDE4B (+366804)
chr1|268	SGIP1 (-124964), PDE4B (+616804)
chr1|269	SGIP1 (+125036), INSL5 (+141938)
chr1|277	DEPDC1 (-162204)
chr1|278	LRRC7 (-850857), DEPDC1 (-412204)
chr1|279	DEPDC1 (-662204), LRRC7 (-600857)
chr1|280	DEPDC1 (-912204), LRRC7 (-350857)
chr1|281	LRRC7 (-100857)
chr1|282	SRSF11 (-296406), LRRC7 (+149143)
chr1|285	CTH (+248046), PTGER3 (+388470)
chr1|286	PTGER3 (+138470), CTH (+498046)
chr1|288	ZRANB2 (-328021), NEGR1 (+873416)
