# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|114	EYA3 (+40206), XKR8 (+89028)
chr1|116	TRNAU1AP (-4596)
chr1|119	PTPRU (+61973)
chr1|125	MATN1 (+71433)
chr1|128	FABP3 (-29078), SERINC2 (-7411)
chr1|130	SPOCD1 (-93349), PTP4A2 (+28987)
chr1|132	ZBTB8B (-55669), TSSK3 (+47203)
chr1|134	TMEM54 (-8042), RNF19B (+55285)
chr1|135	TRIM62 (+22266), ADC (+78287)
chr1|136	ZSCAN20 (-63245), PHC2 (-33807)
chr1|142	SMIM12 (-49584), DLGAP3 (+20185)
chr1|143	SFPQ (+33748), ZMYM1 (+80009)
chr1|145	PSMB2 (-17556), CLSPN (+110528)
chr1|146	AGO3 (-21678), AGO1 (+26191)
chr1|148	LSM10 (-11508), OSCP1 (+41051)
chr1|152	GRIK3 (-375275), ZC3H12A (-65152)
chr1|153	CDCA8 (-33089), RSPO1 (-24510)
chr1|154	MTF1 (-49709), INPP5B (+37722)
chr1|161	HEYL (-19384), NT5C1A (+12709)
chr1|162	MFSD2A (-45821), MYCL (-7316)
chr1|163	RLF (-2044)
chr1|165	RIMS3 (+6328), ZNF684 (+127768)
chr1|166	CTPS1 (-70006), CITED4 (-46983)
chr1|167	SLFNL1 (-136092), SCMH1 (+2103)
chr1|168	FOXO6 (+47407), EDN2 (+75341)
chr1|169	EDN2 (-174659), HIVEP3 (+259168)
chr1|170	EDN2 (-424659), HIVEP3 (+9168)
chr1|171	GUCA2A (+5388), GUCA2B (+5909)
chr1|172	RIMKLA (+28524), ZMYND12 (+46937)
chr1|173	PPIH (+905)
chr1|174	SLC2A1 (+49500), ZNF691 (+62694)
chr1|175	SLC2A1 (-200500), EBNA1BP2 (+13240)
chr1|176	SZT2 (+19361), HYI (+44659)
chr1|177	ST3GAL3 (-48217), KDM4A (+9172)
chr1|178	ARTN (-23991), ST3GAL3 (+201783)
chr1|179	DMAP1 (-54162), KLF17 (+40479)
chr1|180	RNF220 (+4135), TMEM53 (+265226)
chr1|181	TMEM53 (+15226), RNF220 (+254135)
chr1|182	PTCH2 (-66266), EIF2B3 (+77281)
chr1|183	ZSWIM5 (+47227), UROD (+147182)
chr1|184	MUTYH (-68941), TESK2 (+81837)
chr1|185	GPBP1L1 (+27301), NASP (+75269)
chr1|186	MAST2 (+105716), PIK3R3 (+223313)
chr1|187	PIK3R3 (-26687), TSPAN1 (-15758)
chr1|188	DMBX1 (-97668), FAAH (+15064)
chr1|189	MOB3C (-44196), ATPAF1 (+9125)
chr1|191	CYP4A22 (+21874), PDZK1IP1 (+30726)
chr1|192	FOXE3 (-6743), CMPK1 (+75532)
chr1|206	DMRTA2 (-485829), FAF1 (+50934)
chr1|207	RNF11 (-76942), C1orf185 (+57095)
chr1|208	TTC39A (-64213), EPS15 (+109999)
chr1|209	OSBPL9 (+42237), NRD1 (+219476)
chr1|210	NRD1 (-30524), RAB3B (+81435)
chr1|211	ZFYVE9 (+16955), CC2D1B (+206864)
chr1|212	ORC1 (-4870), PRPF38A (+4765)
chr1|213	FAM159A (+25985), ECHDC2 (+262438)
chr1|214	ECHDC2 (+12438), FAM159A (+275985)
chr1|215	CPT2 (-37100), SLC1A7 (-16752)
chr1|216	LRP8 (-81315), DMRTB1 (-50071)
chr1|218	DIO1 (+15141), HSPB11 (+36601)
chr1|219	CDCP2 (-5558), CYB5RL (+37166)
chr1|220	SSBP3 (-2909)
chr1|221	ENSG00000271723 (+17528), PARS2 (+105186)
chr1|222	TMEM61 (-71464), DHCR24 (-22110)
chr1|223	USP24 (+55785), PCSK9 (+119780)
chr1|238	FGGY (-387652), JUN (-125216)
chr1|253	DOCK7 (+28952), ANGPTL3 (+61843)
chr1|256	ALG6 (+41740), ITGB3BP (+113864)
chr1|262	JAK1 (+57186), RAVER2 (+164223)
chr1|263	DNAJC6 (-150227), AK4 (+11488)
chr1|270	INSL5 (-108062), MIER1 (-15641)
chr1|271	SLC35D1 (-105219), IL23R (-7082)
chr1|272	SERBP1 (+21068), IL12RB2 (+101954)
chr1|273	SERBP1 (-228932), GADD45A (-25743)
chr1|284	CTH (-1954)
chr1|313	ZZZ3 (+23342), AK5 (+377265)
chr1|314	NEXN (+20688), FUBP1 (+69769)
chr1|343	MCOLN3 (-110872), SYDE2 (+41728)
chr1|350	HS2ST1 (-5356), SH3GLB1 (+204423)
chr1|362	ZNF326 (-85673), LRRC8D (+88410)
chr1|366	BARHL2 (-192207), ZNF644 (+112029)
chr1|368	HFM1 (-4575)
chr1|372	GLMN (-110468), GFI1 (+74510)
chr1|374	FAM69A (+52056), RPL5 (+77419)
chr1|375	TMED5 (+21284), MTF2 (+80206)
chr1|376	FNBP1L (-38687), DR1 (+63556)
chr1|377	BCAR3 (+187705), FNBP1L (+211313)
chr1|378	GCLM (-35)
chr1|402	SLC35A3 (-60344), AGL (+58956)
chr1|403	TRMT13 (+26282), DBT (+90389)
chr1|404	GPR88 (-128692), CDC14A (+56954)
chr1|406	SLC30A7 (+13369), DPH5 (+116327)
chr1|439	TMEM167B (-8356), TAF13 (-6377)
chr1|440	MYBPHL (-25338), SORT1 (+65572)
chr1|441	GNAT2 (+30678), GNAI3 (+33768)
chr1|442	CSF1 (-78254), EPS8L3 (-68352)
chr1|443	UBL4B (-30061), ALX3 (-11679)
chr1|444	RBM15 (-6127), KCNC4 (+120906)
chr1|447	LRIF1 (-118300), CEPT1 (-57248)
chr1|448	PIFO (-13909), CHIA (+41463)
chr1|449	ADORA3 (-78891), RAP1A (-37404)
chr1|452	KCND3 (-343224), CTTNBP2NL (-63802)
chr1|453	CAPZA1 (-36794), WNT2B (+73601)
chr1|454	FAM19A3 (+111960), SLC16A1 (+123684)
